Disease,Method,K,Precision,Recall,F1
C0009402_Colorectal_Carcinoma,MCL,1500,0.3473333333333333,0.12794695481335952,0.18700646087580758
C0009402_Colorectal_Carcinoma,MCL,2000,0.327,0.1606090373280943,0.21541501976284583
C0009402_Colorectal_Carcinoma,MCL,2500,0.316,0.19400785854616895,0.24041387705416922
C0009402_Colorectal_Carcinoma,MCL,3000,0.29933333333333334,0.22053045186640471,0.25395927601809953
C0009402_Colorectal_Carcinoma,RWR,25,0.48,0.0029469548133595285,0.005857944837686112
C0009402_Colorectal_Carcinoma,RWR,50,0.46,0.005648330058939097,0.011159631246967493
C0009402_Colorectal_Carcinoma,RWR,100,0.38,0.009332023575638507,0.01821668264621285
C0009402_Colorectal_Carcinoma,RWR,200,0.41,0.02013752455795678,0.038389513108614236
C0009402_Colorectal_Carcinoma,RWR,500,0.416,0.05108055009823183,0.09098862642169729
C0009402_Colorectal_Carcinoma,RWR,750,0.4226666666666667,0.07784872298624755,0.13148071339693074
C0009402_Colorectal_Carcinoma,RWR,1000,0.434,0.10658153241650295,0.17113564668769715
C0009402_Colorectal_Carcinoma,RWR,1500,0.4066666666666667,0.14980353634577603,0.21895190236898782
C0009402_Colorectal_Carcinoma,RWR,2000,0.3945,0.193762278978389,0.2598814229249012
C0009402_Colorectal_Carcinoma,RWR,2500,0.3748,0.23010805500982318,0.2851491174680463
C0009402_Colorectal_Carcinoma,RWR,3000,0.344,0.25343811394891946,0.29185520361990946
C0009402_Colorectal_Carcinoma,XG-PUL,25,1.0,0.006139489194499017,0.012204051745179398
C0009402_Colorectal_Carcinoma,XG-PUL,50,1.0,0.012278978388998035,0.024260067928190198
C0009402_Colorectal_Carcinoma,XG-PUL,100,0.97,0.02382121807465619,0.04650047938638543
C0009402_Colorectal_Carcinoma,XG-PUL,200,0.93,0.04567779960707269,0.08707865168539326
C0009402_Colorectal_Carcinoma,XG-PUL,500,0.844,0.10363457760314342,0.18460192475940507
C0009402_Colorectal_Carcinoma,XG-PUL,750,0.7973333333333333,0.1468565815324165,0.24802986312733308
C0009402_Colorectal_Carcinoma,XG-PUL,1000,0.761,0.1868860510805501,0.30007886435331227
C0009402_Colorectal_Carcinoma,XG-PUL,1500,0.7046666666666667,0.2595776031434185,0.37939698492462315
C0009402_Colorectal_Carcinoma,XG-PUL,2000,0.6415,0.3150785854616896,0.4225955204216074
